commit type,deleted lines count
Other,3
Other,1783
Other,4
Other,9
Other,1796
Multi-lang,15
Multi-lang,1789
Other,5
Multi-lang,1808
Other,7
Other,1785
Other,9
Multi-lang,17
Other,1
Other,4
Other,1698
Other,1695
Other,1695
Other,3
Multi-lang,1743
Multi-lang,29
Multi-lang,1724
Other,11
Other,1819
Other,2
Other,1717
Other,2
Multi-lang,1729
Other,3
Multi-lang,378
Other,1611
Other,18
Other,2
Other,1585
Multi-lang,30
Other,1584
Other,8
Multi-lang,1672
Other,5
Other,40
Other,875
Other,855
Other,847
Multi-lang,841
Other,31
Other,35
Other,2
Other,10
Other,0
Other,3
Other,3
Other,23
Other,26
Other,30
Multi-lang,44
Other,23
Other,1
Other,57
Other,2
Other,0
Other,5
Other,3
Other,2
Multi-lang,42
Multi-lang,15
Multi-lang,4
Other,50
Other,0
Other,2
Other,1
Other,6
Other,0
Other,9
Multi-lang,150
Other,4
Other,2
Other,5
Multi-lang,79
Other,156
Other,13
Other,28
Multi-lang,19
Multi-lang,22
Other,0
Other,0
Multi-lang,56
Other,0
Other,1
Other,0
Other,4
Multi-lang,28
Multi-lang,361
Multi-lang,104
Other,1
Other,1
Other,0
Multi-lang,126
Other,3
Other,53
Multi-lang,576
Other,16
Other,21
Multi-lang,16
Multi-lang,286
Multi-lang,6265
Other,6
Other,0
Other,33
Multi-lang,7
Other,97
Multi-lang,150
Other,40
Other,124
Other,42
Other,6
Other,0
Other,62
Other,28
Other,17
Multi-lang,15
Other,7
Multi-lang,32
Other,2374
Other,0
Other,98
Other,16
Other,37
Other,72
Other,0
Other,23
Other,1
Other,19
Other,1
Other,1
Other,1
Other,34
Other,1
Other,7
Other,0
Other,0
Other,0
Other,2
Other,2
Other,25
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,1
Other,0
Other,0
Other,0
Multi-lang,29
Other,5152
Other,129
Multi-lang,60
Other,4054
Multi-lang,0
Other,1
Multi-lang,19
Other,110
Multi-lang,25
Other,24
Other,3
Other,0
Other,1
Other,1
Other,0
Other,6
Other,290
Multi-lang,23
Other,2
Other,17
Other,17
Other,9
Other,2
Other,5
Multi-lang,26
Other,59
Other,5
Other,0
Other,12
Other,56
Other,0
Other,1
Other,0
Other,18
Other,1
Other,5
Other,2
Other,359
Other,103
Multi-lang,16
Other,424
Other,1
Multi-lang,9
Other,1
Multi-lang,52
Other,90
Other,2
Other,0
Other,0
Other,0
Other,6
Other,1
Other,0
Other,1
Other,7
Other,97
Multi-lang,38
Other,1
Other,0
Other,1
Other,21
Other,251
Other,0
Multi-lang,3
Other,2
Other,9
Other,1
Other,21
Other,5
Other,0
Other,0
Other,47
Multi-lang,0
Multi-lang,99
Other,0
Other,332
Other,0
Multi-lang,9
Other,0
Other,39
Other,0
Other,3134
Other,2
Multi-lang,63
Other,130
Other,142
Other,24
Other,1200
Other,3004
Other,5
Other,2
Other,1
Other,1188
Other,5
Other,3002
Other,15
Other,1
Other,36
Other,0
Other,2
Multi-lang,92
Multi-lang,207
Other,0
Other,73
Other,22
Other,48
Other,19
Other,0
Other,0
Other,114
Other,32
Other,0
Other,1
Other,0
Other,13
Other,0
Other,0
Other,7
Other,0
Other,1
Other,4
Other,0
Multi-lang,210
Other,1
Multi-lang,16
Multi-lang,154
Multi-lang,18
Other,0
Multi-lang,33
Multi-lang,2
Multi-lang,9
Other,0
Multi-lang,122
Multi-lang,100
Other,8
Other,0
Other,0
Other,2
Other,0
Other,0
